planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
EPIC 201427007 b,EPIC 201427007,transit,2021,0.72091,1.5,,5633.0,0.94,0.93,,0.13382103666696404,inner,,False,True,True
EPIC 201497682 b,EPIC 201497682,transit,2019,2.13174,0.692,,4991.0,0.554,0.78,,0.061736104915692744,inner,,False,True,True
EPIC 201595106 b,EPIC 201595106,transit,2021,0.87724,1.565,7.67,5679.0,0.98,0.958,0.024132549680959514,0.13961994825586582,inner,0.0,True,True,True
EPIC 201615463 c,K2-166,transit,2019,3.80464,1.22,,5960.0,1.61,1.073,,0.10884110982246409,inner,,False,True,True
EPIC 201754305 d,K2-16,transit,2019,2.71578,1.03,,4761.0,0.544,0.67,,0.09189044517798198,inner,,False,True,True
EPIC 201757695.02,EPIC 201757695,transit,2020,2.0478,0.90819,,4520.0,0.655,0.727,,0.08102328486038006,inner,,False,True,True
EPIC 201833600 c,K2-50,transit,2019,3.96151,1.0,,4326.0,0.634,0.611,,0.0892140244446427,inner,,False,True,True
EPIC 201841433 b,EPIC 201841433,transit,2019,4.1698,1.04,,5053.0,0.628461,0.802,,0.09278258542242841,inner,,False,True,True
EPIC 205950854 c,K2-168,transit,2019,8.050722,1.31,,5502.7,0.83,0.877,,0.11687037202248195,inner,,False,True,True
EPIC 206024342 b,EPIC 206024342,transit,2019,4.50756,1.7,,5724.0,0.823,0.928,,0.15166384155589258,inner,,False,True,True
EPIC 206024342 c,EPIC 206024342,transit,2021,0.911724,1.4,,5724.0,1.1,0.928,,0.12489963422249978,inner,,False,True,True
EPIC 206024342 d,EPIC 206024342,transit,2021,14.647531,2.6,,5724.0,1.1,0.928,,0.23195646355607102,inner,,False,True,True
EPIC 206032309 b,EPIC 206032309,transit,2019,2.87814,1.01,,3489.0,0.37344,0.221,,0.09010616468908914,inner,,False,True,True
EPIC 206042996 b,EPIC 206042996,transit,2019,5.2986,1.7,,4114.0,0.5,0.565,,0.15166384155589258,inner,,False,True,True
EPIC 206042996 c,EPIC 206042996,transit,2021,0.354884,1.2,,4114.0,0.5,0.565,,0.10705682933357123,inner,,False,True,True
EPIC 206215704 b,EPIC 206215704,transit,2019,2.255436,1.0,,3297.0,0.25,0.407,,0.0892140244446427,inner,,False,True,True
EPIC 206317286 b,EPIC 206317286,transit,2019,1.58252,0.96,,4752.0,0.669,0.711,,0.08564546346685699,inner,,False,True,True
EPIC 206317286 c,EPIC 206317286,transit,2022,17.515472,2.094,,4752.0,0.758,0.832,,0.1868141671870818,inner,,False,True,True
EPIC 211822797 b,EPIC 211822797,transit,2016,21.1701963,1.92,,4057.0,0.58,0.62,,0.17129092693371398,inner,,False,True,True
EPIC 211945201 b,EPIC 211945201,transit,2018,19.49221,5.76,27.0,6069.0,1.39,1.17,0.08495160904640246,0.513872780801142,inner,0.0,True,True,True
EPIC 212297394 b,EPIC 212297394,transit,2019,2.289363,1.48,,5171.0,0.8,0.83,,0.1320367561780712,inner,,False,True,True
EPIC 212297394 c,EPIC 212297394,transit,2021,5.213965,2.27,,5171.0,0.8,0.83,,0.20251583548933894,inner,,False,True,True
EPIC 212424622 b,EPIC 212424622,transit,2019,18.0983,2.17,,5782.33,1.2247,1.106,,0.19359443304487464,inner,,False,True,True
EPIC 212499991 b,EPIC 212499991,transit,2019,34.885,1.6,,4982.79,0.757541,0.912,,0.14274243911142834,inner,,False,True,True
EPIC 212587672 b,EPIC 212587672,transit,2019,15.28078,1.26,,6004.0,0.98,0.99,,0.1124096708002498,inner,,False,True,True
EPIC 212587672 c,EPIC 212587672,transit,2021,23.228555,2.32,,6004.0,0.98,0.99,,0.20697653671157104,inner,,False,True,True
EPIC 212624936 b,EPIC 212624936,transit,2021,0.578657,1.2,,5765.0,0.93,1.0,,0.10705682933357123,inner,,False,True,True
EPIC 212624936 c,EPIC 212624936,transit,2021,11.811437,2.3,,5765.0,0.93,1.0,,0.2051922562226782,inner,,False,True,True
EPIC 212737443 b,EPIC 212737443,transit,2019,13.603,2.586,,4684.0,0.673,0.69,,0.23070746721384602,inner,,False,True,True
EPIC 212737443 c,EPIC 212737443,transit,2019,65.55,2.69,,4684.0,0.673,0.69,,0.23998572575608887,inner,,False,True,True
EPIC 220492298 b,EPIC 220492298,transit,2021,0.762406,0.99,,5620.0,0.89,0.95,,0.08832188420019628,inner,,False,True,True
EPIC 220554210 c,K2-282,transit,2019,0.70531,1.6,,5499.0,1.0,0.94,,0.14274243911142834,inner,,False,True,True
